Version,Ctime
omp,1.326336880971212
pyomp,3.6381000030087307
omp,1.3146781930117868
pyomp,3.633628886018414
omp,1.3449167549842969
pyomp,3.592429656011518
omp,1.3142668480286375
pyomp,3.666420950961765
omp,1.3010456709889695
pyomp,3.7207663179724477
omp,1.4014726880122907
pyomp,3.6587547910166904
omp,1.2914242450497113
pyomp,3.656197707983665
omp,1.286313524004072
pyomp,3.7684996629832312
omp,1.2805296730366535
pyomp,3.916819731006399
omp,1.2830281240167096
pyomp,3.605787589040119
