Version,Ctime
omp,1.8989009580109268
pyomp,10.984354573010933
omp,0.8453847870114259
pyomp,2.4802714210236445
omp,0.834353071055375
pyomp,2.284560394997243
omp,0.8619793420075439
pyomp,2.4455638140207157
omp,0.8635260490118526
pyomp,2.3555636170203798
omp,0.8457203719881363
pyomp,2.3701843789895065
omp,0.828693577030208
pyomp,2.2672734889783897
omp,0.831782923953142
pyomp,2.2706681339768693
omp,0.8338648260105401
pyomp,2.2873201920301653
omp,0.832773397967685
pyomp,2.366454983013682
