Version,Ctime
omp,1.5208932934328914
pyomp,6.357108488678932
omp,1.5237694522365928
pyomp,6.589476146735251
omp,1.517083597369492
pyomp,6.585932612419128
omp,1.7309118611738086
pyomp,6.590759643353522
omp,1.7378382189199328
pyomp,6.5780331045389175
omp,1.7282851748168468
pyomp,6.361418966203928
omp,1.5176504971459508
pyomp,6.353054674342275
omp,1.5137635879218578
pyomp,6.361696830950677
omp,1.5164015982300043
pyomp,6.337747459299862
omp,1.7325365766882896
pyomp,6.571594709530473
