Version,Ctime
omp,1.2296267924830317
pyomp,3.3066697400063276
omp,1.4512880817055702
pyomp,3.3067903677001595
omp,1.230623030103743
pyomp,3.3131995918229222
omp,1.4435244239866734
pyomp,3.301846926100552
omp,1.231495851650834
pyomp,3.311371245421469
omp,1.2310255644842982
pyomp,3.294923013076186
omp,1.2279611164703965
pyomp,3.3006144938990474
omp,1.240149037912488
pyomp,3.524063694290817
omp,1.2322309743613005
pyomp,3.3091526245698333
omp,1.2338641518726945
pyomp,3.523289485834539
