Version,Ctime
omp,1.4144866420538165
pyomp,2.993762158032041
omp,1.445557455997914
pyomp,2.939267962006852
omp,1.4144074179930612
pyomp,2.980916735017672
omp,1.4014947190298699
pyomp,3.0890580189879984
omp,1.3957872979808599
pyomp,2.884787991992198
omp,1.4577879759599455
pyomp,2.9879862839588895
omp,1.4161500239861198
pyomp,2.896631827985402
omp,1.4129865739960223
pyomp,3.15178020397434
omp,1.4299703430151567
pyomp,3.1662927560391836
omp,1.5150158800533973
pyomp,2.8609594120061956
