Version,Ctime
omp,1.2305310955271125
pyomp,2.9058519322425127
omp,1.2322195069864392
pyomp,2.9962654085829854
omp,1.2290462013334036
pyomp,2.912908506579697
omp,1.23056844715029
pyomp,2.9179352251812816
omp,1.4564977958798409
pyomp,2.924434940330684
omp,1.464319103397429
pyomp,3.1342175910249352
omp,1.229795758612454
pyomp,2.9141575898975134
omp,1.23214191198349
pyomp,3.134814436547458
omp,1.228841356933117
pyomp,2.9315651152282953
omp,1.2296664975583553
pyomp,2.9173781191930175
