Version,Ctime
omp,0.9321918310015462
pyomp,2.6604441209929064
omp,0.9176720230025239
pyomp,2.5865928040002473
omp,0.9229497699998319
pyomp,2.5665308170136996
omp,0.9265163689851761
pyomp,2.5171285420074128
omp,0.923918450018391
pyomp,2.4477703939774074
omp,0.9191264170221984
pyomp,2.7624075220082887
omp,0.9248889349983074
pyomp,2.530799758969806
omp,0.9319069980410859
pyomp,2.5335972720058635
omp,0.9253979860222898
pyomp,2.5164976329542696
omp,0.9266521820100024
pyomp,2.510021204012446
