Version,Ctime
omp,1.146731679327786
pyomp,2.8023871378973126
omp,1.1545702312141657
pyomp,3.02281731646508
omp,1.3732562279328704
pyomp,2.867331948131323
omp,1.1472590332850814
pyomp,3.0418728291988373
omp,1.1445740582421422
pyomp,2.7829767363145947
omp,1.360971998423338
pyomp,3.0112284375354648
omp,1.143957451917231
pyomp,2.80217547994107
omp,1.1479806266725063
pyomp,2.796967713162303
omp,1.1424183240160346
pyomp,2.998334432952106
omp,1.1457144794985652
pyomp,2.7860674541443586
