Version,Ctime
omp,3.6223088830010965
pyomp,5.13451848103432
omp,3.882731791003607
pyomp,5.209510420972947
omp,3.6402471539913677
pyomp,5.197515690000728
omp,3.611687177035492
pyomp,5.194571152969729
omp,3.7301067149965093
pyomp,5.113881055032834
omp,3.5919850220088847
pyomp,5.2517351969727315
omp,3.6075994769926183
pyomp,5.230676336039323
omp,3.621245696034748
pyomp,5.138531731965486
omp,3.597973102994729
pyomp,5.257755196013022
omp,3.6231507509946823
pyomp,5.216616009012796
